the_geom,cartodb_id,address,latitude,longitude,neighborhood
0101000020E610000014E0BBCD1B4253C0876C205D6C7A4340,1,14th St & Colorado Ave NW,38.956432,-77.032947,16th Street Heights
0101000020E6100000172EABB0194253C0E3FF8EA850794340,2,14th St Heights / 14th & Crittenden St NW,38.947774,-77.032818,16th Street Heights
0101000020E6100000B459F5B9DA4253C01361C3D32B754340,3,20th St & Florida Ave NW,38.9154,-77.0446,Adams Morgan
0101000020E61000001A48179B564253C0E99B340D8A764340,4,16th & Harvard St NW,38.926088,-77.036536,Adams Morgan
0101000020E610000011E4A084994253C0A945443179754340,5,California St & Florida Ave NW,38.917761,-77.04062,Adams Morgan
0101000020E6100000925D6919A94253C09F2287889B754340,6,18th St & Wyoming Ave NW,38.918809,-77.041571,Adams Morgan
0101000020E610000050DF32A7CB4253C073B8567BD8754340,7,Columbia Rd & Belmont St NW,38.920669,-77.04368,Adams Morgan
0101000020E610000017450F7C0C4353C0D84812842B764340,8,Calvert & Biltmore St NW,38.923203,-77.047637,Adams Morgan
0101000020E6100000959BA8A5B94253C095D4096822764340,9,Adams Mill & Columbia Rd NW,38.922925,-77.042581,Adams Morgan
0101000020E610000054DD239BAB3C53C0DF4F8D976E724340,10,Benning Branch Library,38.894,-76.947974,Benning
0101000020E61000006F46CD57C94053C0E9995E622C754340,11,1st & Rhode Island Ave NW,38.915417,-77.012289,Bloomingdale
0101000020E6100000ED815660C84153C047AF06280D7B4340,12,Georgia & Missouri Ave NW,38.961339,-77.027855,Brightwood
0101000020E6100000183E22A6444153C0314278B4717A4340,13,5th & Kennedy St NW,38.956595,-77.019815,Brightwood Park
0101000020E610000004745FCE6C3F53C02EA9DA6E82774340,14,12th & Newton St NE,38.933668,-76.991016,Brookland
0101000020E6100000B9E34D7E8B3F53C0F487669E5C774340,15,10th & Monroe St NE,38.932514,-76.992889,Brookland
0101000020E6100000B13385CE6B3F53C035D07CCEDD764340,16,12th & Irving St NE,38.928644,-76.990955,Brookland
0101000020E6100000F831E6AE254053C045D8F0F44A714340,17,3rd & D St SE,38.8851,-77.0023,Capitol Hill
0101000020E61000002BD49AE61D3F53C09B559FABAD704340,18,Potomac & Pennsylvania Ave SE,38.8803,-76.9862,Capitol Hill
0101000020E61000005D6DC5FEB23F53C0545227A089704340,19,8th & Eye St SE / Barracks Row,38.8792,-76.9953,Capitol Hill
0101000020E6100000399D64ABCB3F53C0978FA4A487714340,20,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806,Capitol Hill
0101000020E61000001344DD07204053C04E98309A95714340,21,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,Capitol Hill
0101000020E6100000E50D30F31D4053C0E65C8AABCA704340,22,3rd & G St SE,38.881185,-77.001828,Capitol Hill
0101000020E610000056629E95B43F53C0FED478E926714340,23,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.884,-76.995397,Capitol Hill
0101000020E610000020B58993FB3B53C06B48DC63E9714340,24,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723,Capitol View
0101000020E6100000D93D7958A84153C013F241CF66754340,25,10th & U St NW,38.9172,-77.0259,Cardozo/Shaw
0101000020E6100000287E8CB96B4153C077BE9F1A2F754340,26,7th & T St NW,38.9155,-77.0222,Cardozo/Shaw
0101000020E61000007F2F8507CD4153C0F032C34659754340,27,12th & U St NW,38.916787,-77.028139,Cardozo/Shaw
0101000020E6100000E78C28ED0D4253C0A167B3EA73754340,28,14th & V St NW,38.9176,-77.0321,Cardozo/Shaw
0101000020E6100000111B2C9CA44153C0EF54C03DCF754340,29,10th & Florida Ave NW,38.920387,-77.025672,Cardozo/Shaw
0101000020E6100000DD09F65FE73E53C056F2B1BB40734340,30,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872,Carver
0101000020E6100000772E8CF4A23C53C0D0B9DBF5D2724340,31,Minnesota Ave Metro/DOES,38.897063,-76.947446,Central NE
0101000020E6100000B2F677B6473C53C06E0D6C9560734340,32,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877,Central NE
0101000020E6100000C5909C4CDC4453C081CF0F23847B4340,33,McKinley St & Connecticut Ave NW,38.96497,-77.075946,Chevy Chase
0101000020E61000002D0ABB287A4453C00F94DBF63D7A4340,34,Connecticut & Nebraska Ave NW,38.955016,-77.069956,Chevy Chase
0101000020E6100000FE0B0401324153C01EFE9AAC51734340,35,5th St & Massachusetts Ave NW,38.90093,-77.018677,Chinatown
0101000020E610000044BFB67EFA4053C061E124CD1F734340,36,3rd & H St NW,38.899408,-77.015289,Chinatown
0101000020E6100000B6BFB33D7A4153C0091B9E5E29734340,37,8th & H St NW,38.8997,-77.023086,Chinatown
0101000020E6100000823AE5D18D4153C03C4CFBE6FE724340,38,MLK Library/9th & G St NW,38.898404,-77.024281,Chinatown
0101000020E6100000B4368DEDB54353C0B25DA10F96774340,39,Connecticut Ave & Newark St NW / Cleveland Park,38.934267,-77.057979,Cleveland Park
0101000020E61000006E3480B7404253C035B56CAD2F764340,40,15th & Euclid St  NW,38.92333,-77.0352,Columbia Heights
0101000020E6100000B98AC56F0A4253C01399B9C0E5754340,41,14th & Belmont St NW,38.921074,-77.031887,Columbia Heights
0101000020E6100000FF06EDD5C74153C0996725ADF8764340,42,11th & Kenyon St NW,38.929464,-77.027822,Columbia Heights
0101000020E6100000BC749318044253C0F28E537424774340,43,Park Rd & Holmead Pl NW,38.9308,-77.0315,Columbia Heights
0101000020E610000098BB96900F4253C066F7E461A1764340,44,14th & Harvard St NW,38.9268,-77.0322,Columbia Heights
0101000020E610000025CFF57D383F53C025C9737D1F6C4340,45,Congress Heights Metro,38.844711,-76.987823,Congress Heights
0101000020E6100000F30016F9F53F53C044A2D0B2EE6B4340,46,Alabama & MLK Ave SE,38.843222,-76.999388,Congress Heights
0101000020E61000008A3BDEE4B73B53C04626E0D748744340,47,Deanwood Rec Center,38.908473,-76.933099,Deanwood
0101000020E610000097E65608AB4153C0A703594FAD724340,48,10th & E St NW,38.895914,-77.026064,Downtown
0101000020E61000000F99F221A83F53C0F22213F06B6E4340,110,Anacostia Metro,38.862669,-76.994637,Hillsdale
0101000020E6100000E2AC889AE84153C088122D793C734340,49,13th St & New York Ave NW,38.900283,-77.029822,Downtown
0101000020E61000009FE40E9BC84153C0AEF36F97FD724340,50,Metro Center / 12th & G St NW,38.898364,-77.027869,Downtown
0101000020E610000012A0A696AD4153C088F4DBD781734340,51,10th & K St NW,38.9024,-77.02622,Downtown
0101000020E610000036CD3B4ED14153C070404B57B0734340,52,12th & L St NW,38.903819,-77.0284,Downtown
0101000020E6100000AE105663094253C09546CCECF3724340,53,14th & G St NW,38.898069,-77.031823,Downtown
0101000020E61000006C6FB724074253C0B037312427734340,54,14th St & New York Ave NW,38.899632,-77.031686,Downtown
